"","RequestType","total.income","race","count"
"508","Graffiti Removal",18783,"Hispanic",3881
"509","Graffiti Removal",18932,"Hispanic",3572
"510","Graffiti Removal",19067,"Hispanic",8801
"511","Graffiti Removal",19103,"Hispanic",2826
"512","Graffiti Removal",19309,"Hispanic",2720
"513","Graffiti Removal",20122,"Hispanic",3735
"514","Graffiti Removal",20135,"Hispanic",3352
"515","Graffiti Removal",20210,"Hispanic",3070
"516","Graffiti Removal",20356,"Hispanic",10
"517","Graffiti Removal",20401,"Hispanic",1479
"518","Graffiti Removal",20468,"Hispanic",331
"519","Graffiti Removal",20820,"Hispanic",6457
"520","Graffiti Removal",21075,"AfricanAmerican",1016
"521","Graffiti Removal",21211,"AfricanAmerican",1903
"522","Graffiti Removal",21227,"Asian",2960
"523","Graffiti Removal",21259,"White",2236
"524","Graffiti Removal",21384,"White",2
"525","Graffiti Removal",21532,"Hispanic",4987
"526","Graffiti Removal",22045,"Hispanic",3063
"527","Graffiti Removal",22228,"AfricanAmerican",807
"528","Graffiti Removal",22309,"Hispanic",1704
"529","Graffiti Removal",22418,"Hispanic",3826
"530","Graffiti Removal",22518,"Hispanic",3431
"531","Graffiti Removal",22638,"Hispanic",3170
"532","Graffiti Removal",22834,"Hispanic",3484
"533","Graffiti Removal",22865,"Hispanic",11184
"534","Graffiti Removal",22981,"Hispanic",718
"535","Graffiti Removal",22996,"Hispanic",962
"536","Graffiti Removal",23083,"Hispanic",541
"537","Graffiti Removal",23466,"Hispanic",1041
"538","Graffiti Removal",23575,"Hispanic",1734
"539","Graffiti Removal",23578,"AfricanAmerican",11
"540","Graffiti Removal",23971,"Asian",6
"541","Graffiti Removal",24393,"Asian",1
"542","Graffiti Removal",24545,"Hispanic",1582
"543","Graffiti Removal",24941,"Hispanic",6918
"544","Graffiti Removal",25827,"Hispanic",831
"545","Graffiti Removal",25904,"Hispanic",1652
"546","Graffiti Removal",25933,"Hispanic",2095
"547","Graffiti Removal",26105,"Hispanic",882
"548","Graffiti Removal",26337,"Hispanic",407
"549","Graffiti Removal",26415,"White",268
"550","Graffiti Removal",26438,"Hispanic",758
"551","Graffiti Removal",27088,"Hispanic",2004
"552","Graffiti Removal",27546,"White",3878
"553","Graffiti Removal",28266,"Hispanic",23
"554","Graffiti Removal",28625,"White",27
"555","Graffiti Removal",29086,"White",1967
"556","Graffiti Removal",30460,"White",688
"557","Graffiti Removal",31003,"White",921
"558","Graffiti Removal",31613,"White",241
"559","Graffiti Removal",31675,"Asian",1343
"560","Graffiti Removal",31713,"AfricanAmerican",3
"561","Graffiti Removal",32432,"White",1496
"562","Graffiti Removal",33629,"White",2266
"563","Graffiti Removal",33730,"White",4
"564","Graffiti Removal",33953,"White",942
"565","Graffiti Removal",34831,"Hispanic",2131
"566","Graffiti Removal",35026,"White",8
"567","Graffiti Removal",35388,"White",451
"568","Graffiti Removal",35633,"White",284
"569","Graffiti Removal",36258,"White",1478
"570","Graffiti Removal",37156,"White",506
"571","Graffiti Removal",37776,"White",431
"572","Graffiti Removal",38518,"White",862
"573","Graffiti Removal",39311,"White",256
"574","Graffiti Removal",39509,"White",269
"575","Graffiti Removal",39664,"White",329
"576","Graffiti Removal",40243,"White",17
"577","Graffiti Removal",40362,"White",421
"578","Graffiti Removal",40631,"White",1204
"579","Graffiti Removal",42001,"White",156
"580","Graffiti Removal",42578,"White",1
"581","Graffiti Removal",42628,"White",354
"582","Graffiti Removal",42940,"White",1227
"583","Graffiti Removal",42963,"White",441
"584","Graffiti Removal",43672,"White",303
"585","Graffiti Removal",44136,"White",2
"586","Graffiti Removal",44314,"White",446
"587","Graffiti Removal",44717,"AfricanAmerican",10
"588","Graffiti Removal",44887,"White",957
"589","Graffiti Removal",45249,"White",5
"590","Graffiti Removal",47068,"White",2799
"591","Graffiti Removal",48321,"White",21
"592","Graffiti Removal",48605,"White",235
"593","Graffiti Removal",50272,"White",695
"594","Graffiti Removal",51183,"White",38
"595","Graffiti Removal",53286,"White",542
"596","Graffiti Removal",53564,"White",1
"597","Graffiti Removal",53733,"White",149
"598","Graffiti Removal",61464,"White",313
"599","Graffiti Removal",61485,"White",88
"600","Graffiti Removal",63516,"White",812
"601","Graffiti Removal",63733,"White",7
"602","Graffiti Removal",64156,"White",53
"603","Graffiti Removal",66707,"White",12
"604","Graffiti Removal",69602,"White",184
"605","Graffiti Removal",75404,"White",37
"606","Homeless Encampment",12156,"Hispanic",432
"607","Homeless Encampment",12324,"Hispanic",26
"608","Homeless Encampment",12679,"Hispanic",201
"609","Homeless Encampment",14416,"AfricanAmerican",343
"610","Homeless Encampment",15022,"Hispanic",87
"611","Homeless Encampment",15239,"Hispanic",205
"612","Homeless Encampment",15325,"Asian",116
"613","Homeless Encampment",15333,"Hispanic",331
"614","Homeless Encampment",15440,"Hispanic",527
"615","Homeless Encampment",15495,"Hispanic",64
"616","Homeless Encampment",15507,"Hispanic",57
"617","Homeless Encampment",15632,"Hispanic",133
"618","Homeless Encampment",15653,"Hispanic",46
"619","Homeless Encampment",15871,"Hispanic",184
"620","Homeless Encampment",15932,"Hispanic",53
"621","Homeless Encampment",15997,"Hispanic",297
"622","Homeless Encampment",16128,"Hispanic",171
"623","Homeless Encampment",16295,"Hispanic",40
